"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",5,0,69,68,64,68
"2",0,0,76,76,76,76
"3",15,0,81,81,66,81
"4",0,0,76,74,76,74
"5",21,0,97,98,76,98
"6",0,0,65,65,65,65
"7",8,0,79,79,71,79
"8",6,4,87,88,81,84
"9",0,2,75,76,75,74
"10",0,0,84,85,84,85
"11",0,0,79,77,79,77
"12",0,1,76,74,76,73
"13",0,2,81,81,81,79
"14",0,3,85,87,85,84
"15",0,3,86,85,86,82
"16",8,0,66,65,58,65
"17",0,6,80,80,80,74
"18",2,3,74,75,72,72
"19",0,0,78,78,78,78
"20",0,0,77,77,77,77
"21",1,2,86,86,85,84
"22",4,5,71,72,67,67
"23",2,18,83,84,81,66
"24",0,0,71,71,71,71
"25",0,0,73,74,73,74
"26",0,0,89,88,89,88
"27",2,11,94,94,92,83
"28",2,0,99,99,97,99
"29",0,1,76,75,76,74
"30",0,0,66,66,66,66
"31",0,1,84,83,84,82
"32",0,9,80,80,80,71
"33",10,3,71,70,61,67
"34",0,0,78,76,78,76
"35",0,0,70,67,70,67
"36",0,3,68,69,68,66
"37",0,0,68,69,68,69
"38",0,1,68,68,68,67
"39",0,7,71,72,71,65
"40",1,0,68,67,67,67
"41",0,3,79,78,79,75
"42",0,0,82,81,82,81
"43",8,1,97,96,89,95
"44",11,18,85,85,74,67
"45",5,2,58,58,53,56
"46",0,0,58,58,58,58
"47",2,3,79,80,77,77
"48",0,1,82,82,82,81
"49",13,0,69,71,56,71
"50",3,6,86,87,83,81
"51",0,5,81,82,81,77
"52",21,1,95,95,74,94
"53",0,0,70,68,70,68
"54",2,5,66,64,64,59
"55",0,12,67,68,67,56
"56",0,1,86,86,86,85
"57",2,3,71,72,69,69
"58",30,6,59,58,29,52
"59",2,0,68,69,66,69
"60",1,3,60,61,59,58
"61",22,4,60,60,38,56
"62",2,0,87,85,85,85
"63",0,0,83,82,83,82
"64",3,6,81,81,78,75
"65",1,4,62,61,61,57
"66",0,1,77,78,77,77
"67",0,1,83,82,83,81
"68",3,0,71,71,68,71
"69",0,1,75,76,75,75
"70",0,5,78,79,78,74
"71",0,2,73,73,73,71
"72",5,0,90,91,85,91
"73",2,0,95,93,93,93
"74",0,0,68,67,68,67
"75",5,0,93,95,88,95
"76",0,16,61,62,61,46
"77",2,4,76,74,74,70
"78",0,0,74,73,74,73
"79",0,0,72,71,72,71
"80",0,0,89,91,89,91
"81",9,19,79,81,70,62
"82",3,5,60,61,57,56
"83",0,3,72,74,72,71
"84",0,1,85,86,85,85
"85",0,0,61,61,61,61
"86",1,1,84,84,83,83
"87",1,5,63,63,62,58
"88",1,3,78,78,77,75
"89",0,0,77,79,77,79
"90",1,0,75,75,74,75
"91",6,1,67,69,61,68
"92",8,1,81,83,73,82
"93",0,11,74,71,74,60
"94",0,0,73,72,73,72
"95",0,1,70,69,70,68
"96",1,3,66,67,65,64
"97",0,1,76,76,76,75
"98",8,7,82,82,74,75
"99",21,4,79,80,58,76
"100",3,10,78,78,75,68
"101",6,18,72,74,66,56
"102",2,1,80,81,78,80
"103",3,0,81,81,78,81
"104",0,1,68,67,68,66
"105",3,7,81,80,78,73
"106",7,10,87,89,80,79
"107",1,0,69,68,68,68
"108",0,3,69,71,69,68
"109",5,0,77,78,72,78
"110",4,25,52,52,48,27
"111",0,2,72,73,72,71
"112",10,10,89,89,79,79
"113",0,0,85,85,85,85
"114",0,0,84,84,84,84
"115",0,0,79,81,79,81
"116",10,1,96,95,86,94
"117",0,3,77,78,77,75
"118",33,4,85,82,52,78
"119",0,0,76,76,76,76
