"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",1,14,100,100,99,86
"2",3,3,100,100,97,97
"3",10.5,1,100,100,89.5,99
"4",0,9,100,100,100,91
"5",3.5,2,100,100,96.5,98
"6",0,0,100,100,100,100
"7",0,9,100,100,100,91
"8",0.5,0,99.5,99.5,99,99.5
"9",2,0,100,100,98,100
"10",0,13,100,100,100,87
"11",1,8.5,100,100,99,91.5
"12",21.5,0,100,100,78.5,100
"13",3.5,1,100,100,96.5,99
"14",1,7,99.5,99.5,98.5,92.5
"15",0.5,0,100,100,99.5,100
"16",10.5,0,100,100,89.5,100
"17",4.5,0,100,100,95.5,100
"18",0.5,1,100,100,99.5,99
"19",0,14,100,100,100,86
"20",0,0,100,100,100,100
"21",2,6.5,100,100,98,93.5
"22",4.5,8,100,100,95.5,92
"23",4,0.5,100,100,96,99.5
"24",0,0,100,100,100,100
"25",0,0.5,100,100,100,99.5
"26",1.5,17,100,100,98.5,83
"27",0,0,100,100,100,100
"28",4.5,0.5,99.5,99.5,95,99
"29",0,0,99.5,99.5,99.5,99.5
"30",0,4,100,100,100,96
"31",0,0,100,100,100,100
"32",0,0.5,100,100,100,99.5
"33",0,1,100,100,100,99
"34",0,0,100,100,100,100
"35",0,0,100,100,100,100
"36",1,3,100,100,99,97
"37",0.5,13,100,100,99.5,87
"38",0,1,100,100,100,99
"39",0,1.5,100,100,100,98.5
"40",0.5,2,100,100,99.5,98
"41",0,2,100,99.5,100,97.5
"42",2,16,100,100,98,84
"43",0,0,100,100,100,100
"44",5,9,100,100,95,91
"45",2.5,6,100,100,97.5,94
"46",0,1,100,100,100,99
"47",0,0,99.5,99.5,99.5,99.5
"48",2,1.5,100,100,98,98.5
"49",1,1,99.5,99.5,98.5,98.5
"50",6.5,2.5,99.5,99.5,93,97
"51",0,0,100,100,100,100
"52",0.5,9,100,100,99.5,91
"53",2,0,100,100,98,100
"54",0,0,100,100,100,100
"55",0,7,100,100,100,93
"56",3.5,3.5,100,100,96.5,96.5
"57",3,3,100,100,97,97
"58",7,13,100,100,93,87
"59",1.5,5.5,100,100,98.5,94.5
"60",2.5,7,100,100,97.5,93
"61",0,0,100,100,100,100
"62",26.5,5,100,100,73.5,95
"63",0,0,100,100,100,100
"64",27,0,100,100,73,100
"65",0,2.5,99.5,99.5,99.5,97
"66",32.5,5.5,100,100,67.5,94.5
"67",0,1,100,100,100,99
"68",1,0,100,100,99,100
"69",0.5,1.5,100,100,99.5,98.5
