"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",12,14,97,97,85,83
"2",0,0,99,99,99,99
"3",0,2,100,100,100,98
"4",12,5,100,100,88,95
"5",0,0,100,100,100,100
"6",0,2,100,100,100,98
"7",1,0,99,99,98,99
"8",0,0,98,98,98,98
"9",1,15,99,99,98,84
"10",5,3,100,100,95,97
"11",0,0,100,100,100,100
"12",0,1,99,99,99,98
"13",4,7,100,100,96,93
"14",0,0,100,100,100,100
"15",0,12,100,100,100,88
"16",0,0,100,100,100,100
"17",0,1,100,100,100,99
"18",2,2,100,100,98,98
"19",7,5,100,100,93,95
"20",0,4,99,99,99,95
"21",1,1,99,99,98,98
"22",0,1,100,100,100,99
"23",0,9,100,100,100,91
"24",8,20,100,100,92,80
"25",0,0,100,100,100,100
"26",0,19,100,100,100,81
"27",0,0,100,100,100,100
"28",1,9,100,100,99,91
"29",8,0,100,100,92,100
"30",23,0,99,99,76,99
"31",0,1,100,100,100,99
"32",5,12,100,100,95,88
"33",3,0,100,100,97,100
"34",14,0,100,100,86,100
"35",0,18,99,99,99,81
"36",0,3,100,100,100,97
"37",20,3,99,99,79,96
"38",1,3,100,100,99,97
"39",0,1,98,98,98,97
"40",7,1,100,100,93,99
"41",37,15,100,100,63,85
"42",17,1,100,100,83,99
"43",0,12,98,98,98,86
"44",1,1,98,98,97,97
"45",2,1,100,100,98,99
"46",1,9,99,99,98,90
"47",1,2,99,99,98,97
"48",33,5,100,100,67,95
"49",0,1,100,100,100,99
"50",1,10,100,100,99,90
"51",3,2,99,99,96,97
"52",5,0,100,100,95,100
"53",7,4,100,100,93,96
"54",4,12,99,99,95,87
"55",15,0,100,100,85,100
"56",0,0,98,99,98,99
"57",0,0,100,100,100,100
"58",0,0,99,99,99,99
"59",0,0,99,99,99,99
"60",1,0,100,100,99,100
"61",12,0,99,99,87,99
"62",0,2,100,100,100,98
"63",0,0,100,100,100,100
"64",0,6,99,99,99,93
"65",0,1,100,100,100,99
"66",13,30,100,100,87,70
"67",1,7,99,99,98,92
"68",0,14,100,100,100,86
"69",0,0,100,100,100,100
"70",0,1,100,100,100,99
"71",6,20,99,99,93,79
"72",0,0,99,99,99,99
"73",0,7,97,97,97,90
"74",0,0,100,100,100,100
"75",9,2,100,100,91,98
"76",0,2,100,100,100,98
"77",0,2,100,100,100,98
"78",0,0,99,99,99,99
"79",5,0,99,99,94,99
"80",16,0,100,100,84,100
"81",3,12,99,99,96,87
"82",0,0,99,99,99,99
"83",0,2,100,100,100,98
"84",0,6,100,100,100,94
"85",19,6,100,100,81,94
"86",0,0,100,100,100,100
"87",1,14,99,99,98,85
"88",34,2,98,98,64,96
"89",1,0,98,98,97,98
"90",11,13,100,100,89,87
"91",0,0,99,99,99,99
"92",0,1,98,98,98,97
"93",5,7,100,100,95,93
"94",0,2,100,100,100,98
"95",2,0,99,99,97,99
"96",0,1,99,99,99,98
"97",0,3,100,100,100,97
"98",0,2,99,99,99,97
"99",1,0,100,100,99,100
"100",0,0,99,99,99,99
"101",1,7,100,100,99,93
"102",3,5,99,99,96,94
"103",0,1,99,99,99,98
"104",3,2,100,100,97,98
"105",0,1,100,100,100,99
"106",1,0,99,99,98,99
"107",0,2,100,100,100,98
"108",1,3,99,99,98,96
"109",0,0,100,100,100,100
"110",4,2,97,97,93,95
"111",12,0,100,100,88,100
"112",0,4,100,100,100,96
"113",6,6,99,99,93,93
"114",0,6,100,100,100,94
"115",1,1,99,99,98,98
"116",0,2,99,99,99,97
"117",1,9,99,99,98,90
"118",1,0,100,100,99,100
"119",0,0,99,99,99,99
"120",0,10,100,100,100,90
"121",7,0,99,99,92,99
"122",0,0,98,98,98,98
"123",1,4,99,99,98,95
"124",4,1,100,100,96,99
"125",0,20,100,100,100,80
"126",3,5,100,100,97,95
"127",5,0,100,100,95,100
"128",0,3,100,100,100,97
"129",16,1,100,100,84,99
"130",3,4,100,100,97,96
"131",1,4,100,100,99,96
"132",65,0,100,100,35,100
"133",29,0,100,100,71,100
"134",12,15,100,100,88,85
"135",0,10,100,100,100,90
"136",7,0,100,100,93,100
