"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"1",0,0,100,100,100,100
"2",0,0,100,100,100,100
"3",0,0,99.5,99.5,99.5,99.5
"4",9,31.5,100,100,91,68.5
"5",6.5,17.5,100,100,93.5,82.5
"6",0,1.5,100,100,100,98.5
"7",0,1,100,100,100,99
"8",0,13.5,100,100,100,86.5
"9",0,3,100,100,100,97
"10",0,1.5,99.5,99.5,99.5,98
"11",0,0,100,100,100,100
"12",1,3,100,100,99,97
"13",1,0.5,100,100,99,99.5
"14",8.5,7.5,100,100,91.5,92.5
"15",3,0,100,100,97,100
"16",18.5,2,100,100,81.5,98
"17",5,33.5,100,100,95,66.5
"18",7.5,0,100,100,92.5,100
"19",0,5,100,100,100,95
"20",0,0,100,100,100,100
"21",1,1,100,100,99,99
"22",2.5,0,100,100,97.5,100
"23",4.5,3.5,100,100,95.5,96.5
"24",2,1.5,99.5,99.5,97.5,98
"25",1.5,0,100,100,98.5,100
"26",1.5,1,99,99,97.5,98
"27",2.5,1,100,100,97.5,99
"28",18,0,100,100,82,100
"29",0,2.5,100,100,100,97.5
"30",1,0.5,100,100,99,99.5
"31",0,0,100,100,100,100
"32",0,21.5,100,100,100,78.5
"33",1.5,4.5,100,100,98.5,95.5
"34",22,6,100,100,78,94
"35",0,8,100,100,100,92
"36",16,5.5,100,100,84,94.5
"37",3,2.5,100,100,97,97.5
"38",0,2,100,100,100,98
"39",1.5,0.5,100,100,98.5,99.5
"40",0,2,100,100,100,98
"41",0,3.5,100,100,100,96.5
"42",7,0.5,99.5,99.5,92.5,99
"43",10,2.5,100,100,90,97.5
"44",1,2,100,100,99,98
"45",0.5,0,100,100,99.5,100
"46",0,0,100,100,100,100
"47",0.5,5.5,100,100,99.5,94.5
"48",0,0,100,100,100,100
"49",0,3,100,100,100,97
"50",3.5,5.5,100,100,96.5,94.5
"51",1,0.5,100,100,99,99.5
"52",3,12,100,100,97,88
"53",1,0,100,100,99,100
"54",0,0.5,100,100,100,99.5
"55",4.5,3.5,100,100,95.5,96.5
"56",0.5,1,100,100,99.5,99
"57",3.5,4.5,100,100,96.5,95.5
"58",0.5,6,100,100,99.5,94
"59",0,4.5,100,100,100,95.5
"60",0,0,99.5,99.5,99.5,99.5
"61",4,12,100,100,96,88
"62",0,6.5,100,100,100,93.5
"63",14.5,2.5,100,100,85.5,97.5
"64",2,11.5,100,100,98,88.5
"65",3.5,0.5,100,100,96.5,99.5
"66",11,4.5,100,100,89,95.5
"67",26,2.5,100,100,74,97.5
"68",0,9,100,100,100,91
"69",0.5,2.5,100,100,99.5,97.5
"70",29.5,16,100,100,70.5,84
"71",0,0,100,100,100,100
"72",2,0.5,100,100,98,99.5
"73",0,0.5,100,100,100,99.5
"74",0,0,100,100,100,100
"75",35,0.5,100,100,65,99.5
"76",3.5,22,100,100,96.5,78
"77",1.5,1.5,100,100,98.5,98.5
"78",0,1.5,100,100,100,98.5
"79",0.5,5.5,100,100,99.5,94.5
"80",1,0.5,100,100,99,99.5
"81",2,14,100,100,98,86
"82",0,7,100,100,100,93
"83",0.5,4.5,100,100,99.5,95.5
"84",1,1,100,100,99,99
"85",0,0,100,100,100,100
"86",29,7,100,100,71,93
"87",6.5,3,100,100,93.5,97
"88",0,2,100,100,100,98
"89",8.5,11,100,100,91.5,89
"90",3.5,9.5,100,100,96.5,90.5
"91",0,0,100,100,100,100
"92",0.5,1.5,100,100,99.5,98.5
"93",0,1.5,100,100,100,98.5
"94",0,0,100,100,100,100
"95",22,4,100,100,78,96
"96",0,2,100,100,100,98
"97",10,3.5,100,100,90,96.5
"98",0,2,100,100,100,98
"99",32,0,100,100,68,100
"100",0.5,0.5,100,100,99.5,99.5
"101",0,0,100,100,100,100
"102",6,19.5,100,100,94,80.5
"103",0,4.5,100,100,100,95.5
"104",1,0.5,100,100,99,99.5
"105",0,12.5,100,100,100,87.5
"106",0,0.5,100,100,100,99.5
"107",2,9,100,100,98,91
"108",0,0,100,100,100,100
"109",4.5,15.5,99.5,99.5,95,84
"110",25.5,27.5,100,100,74.5,72.5
"111",5,13.5,100,100,95,86.5
"112",2.5,0,100,100,97.5,100
"113",0,0,100,100,100,100
"114",0.5,0,100,100,99.5,100
"115",2.5,1.5,100,100,97.5,98.5
"116",0,1,100,100,100,99
"117",1.5,0,100,100,98.5,100
"118",0,0,100,100,100,100
"119",1,0,99.5,99.5,98.5,99.5
"120",3.5,0,100,100,96.5,100
"121",7.5,0,100,100,92.5,100
"122",0,1,100,100,100,99
"123",2.5,3.5,100,100,97.5,96.5
"124",12.5,4.5,100,100,87.5,95.5
"125",2.5,0,100,100,97.5,100
"126",0,4.5,99.5,99.5,99.5,95
"127",0,0,100,100,100,100
"128",0,0.5,99.5,99.5,99.5,99
"129",8.5,3,100,100,91.5,97
"130",4,20.5,100,100,96,79.5
"131",3,9,100,100,97,91
"132",10,6.5,100,100,90,93.5
"133",11,29.5,100,100,89,70.5
"134",1.5,15.5,99.5,99.5,98,84
"135",0.5,6.5,100,100,99.5,93.5
"136",1.5,0.5,100,100,98.5,99.5
"137",0.5,0,100,100,99.5,100
"138",2.5,0,100,100,97.5,100
"139",0,0.5,99.5,99.5,99.5,99
"140",4.5,6.5,100,100,95.5,93.5
"141",0,16,100,100,100,84
"142",3.5,3.5,100,100,96.5,96.5
"143",0.5,0,100,100,99.5,100
"144",3.5,13,100,100,96.5,87
"145",0.5,5,100,100,99.5,95
"146",0,0,100,100,100,100
"147",0,1,100,100,100,99
"148",19,0,100,100,81,100
"149",2.5,12.5,100,100,97.5,87.5
"150",0,4,99.5,99.5,99.5,95.5
"151",0,0,99.5,99.5,99.5,99.5
"152",0,0,100,100,100,100
"153",0,11.5,100,100,100,88.5
"154",1.5,0,100,100,98.5,100
"155",0,1,100,100,100,99
"156",0,0.5,100,100,100,99.5
"157",0,0.5,100,100,100,99.5
"158",11,5.5,100,100,89,94.5
"159",0,0.5,100,100,100,99.5
"160",0,0.5,100,100,100,99.5
"161",0,0,100,100,100,100
"162",0,0,100,100,100,100
"163",0,1,100,100,100,99
"164",0,1,100,100,100,99
"165",4.5,5.5,100,100,95.5,94.5
"166",0.5,2.5,100,100,99.5,97.5
"167",1,4,100,100,99,96
"168",2,0.5,100,100,98,99.5
"169",17,4,100,100,83,96
"170",17.5,6,100,100,82.5,94
"171",7,0.5,100,100,93,99.5
"172",6,8.5,100,100,94,91.5
"173",0,0.5,100,100,100,99.5
"174",14.5,1.5,100,100,85.5,98.5
"175",9,0,100,100,91,100
"176",0.5,5,100,100,99.5,95
"177",4.5,1,100,100,95.5,99
"178",1,1,100,100,99,99
"179",0,0,99.5,99.5,99.5,99.5
"180",0,1,100,100,100,99
"181",2,2,100,100,98,98
"182",1.5,6.5,100,100,98.5,93.5
"183",0,17,100,100,100,83
"184",8,1,100,100,92,99
"185",0,4,100,100,100,96
"186",2,0,99.5,99.5,97.5,99.5
"187",4,3,100,100,96,97
"188",1.5,0,100,100,98.5,100
"189",0,2,100,100,100,98
"190",0,5.5,99.5,99.5,99.5,94
"191",4,0.5,100,100,96,99.5
"192",0,0,99.5,99.5,99.5,99.5
"193",5,11,100,100,95,89
"194",0.5,0,100,100,99.5,100
"195",6.5,35,100,100,93.5,65
"196",0,1.5,99,99,99,97.5
"197",1,10.5,100,100,99,89.5
"198",3,18.5,100,100,97,81.5
"199",1,1,100,100,99,99
"200",3.5,0,100,100,96.5,100
"201",3,0,100,100,97,100
"202",0,2.5,100,100,100,97.5
"203",1.5,0,100,100,98.5,100
"204",0,2,100,100,100,98
"205",1,0,100,100,99,100
"206",1.5,9.5,99.5,99.5,98,90
"207",0,11.5,100,100,100,88.5
"208",7.5,17,100,100,92.5,83
"209",0,2.5,100,100,100,97.5
"210",1.5,17.5,99.5,99.5,98,82
"211",0.5,5.5,100,100,99.5,94.5
"212",0,4.5,100,100,100,95.5
"213",6.5,0,100,100,93.5,100
"214",0,1,100,100,100,99
"215",0,5,100,100,100,95
"216",0,0,100,100,100,100
"217",1.5,20.5,100,100,98.5,79.5
"218",0.5,2.5,100,100,99.5,97.5
"219",1,1,100,100,99,99
"220",0,8,99.5,99.5,99.5,91.5
"221",0.5,0.5,100,100,99.5,99.5
"222",17.5,18,100,100,82.5,82
"223",2.5,8.5,100,100,97.5,91.5
"224",20,1,100,100,80,99
"225",8.5,7,100,100,91.5,93
"226",0.5,2.5,100,100,99.5,97.5
"227",1,6.5,100,100,99,93.5
"228",0,0,99.5,99.5,99.5,99.5
"229",0,3.5,99.5,99.5,99.5,96
"230",4.5,0.5,99.5,99.5,95,99
"231",10,25,100,100,90,75
"232",0,0.5,100,100,100,99.5
"233",7,19.5,100,100,93,80.5
"234",0,4.5,100,100,100,95.5
"235",0,0,99.5,99.5,99.5,99.5
"236",0.5,4,100,100,99.5,96
"237",0,1,100,100,100,99
"238",4.5,2.5,100,100,95.5,97.5
"239",1,1.5,100,100,99,98.5
"240",0,0,100,100,100,100
"241",0.5,21,100,100,99.5,79
"242",3.5,0,99.5,99.5,96,99.5
"243",7.5,34.5,100,100,92.5,65.5
"244",2,4.5,100,100,98,95.5
"245",22,7.5,100,100,78,92.5
"246",19.5,23.5,100,100,80.5,76.5
"247",0,0,100,100,100,100
"248",0,0,100,100,100,100
"249",9.5,4.5,100,100,90.5,95.5
"250",0,4.5,100,100,100,95.5
"251",2,1,100,100,98,99
"252",1.5,2.5,100,100,98.5,97.5
"253",8,11,100,100,92,89
"254",0.5,12.5,100,100,99.5,87.5
"255",4,20.5,100,100,96,79.5
"256",4.5,5,100,100,95.5,95
"257",0.5,0.5,100,100,99.5,99.5
"258",0,2,100,100,100,98
"259",2,2.5,100,100,98,97.5
"260",5.5,8,100,100,94.5,92
"261",0,1,100,100,100,99
"262",0,0,100,100,100,100
"263",8.5,2,100,100,91.5,98
"264",1.5,0.5,100,100,98.5,99.5
"265",0,3,99.5,99.5,99.5,96.5
"266",0.5,0,100,100,99.5,100
"267",9,3,100,100,91,97
"268",1.5,0,100,100,98.5,100
"269",0.5,0.5,100,100,99.5,99.5
"270",0,5,100,100,100,95
"271",4.5,4,100,100,95.5,96
"272",0,2,100,100,100,98
"273",3.5,5,100,100,96.5,95
"274",0,0,99.5,99.5,99.5,99.5
"275",0,1,100,99.5,100,98.5
"276",0,2,100,100,100,98
"277",3,7.5,99.5,99.5,96.5,92
"278",6.5,4,100,100,93.5,96
"279",0,0,99.5,99.5,99.5,99.5
"280",0,0,99.5,99.5,99.5,99.5
"281",2.5,1.5,100,100,97.5,98.5
"282",3.5,1.5,100,100,96.5,98.5
"283",0,1.5,100,100,100,98.5
"284",1,0,100,100,99,100
"285",2,22,100,100,98,78
"286",0,0,100,100,100,100
"287",0.5,0,99,99,98.5,99
"288",1,0,100,100,99,100
"289",3,4,100,100,97,96
"290",0,0,100,100,100,100
"291",0,0,100,100,100,100
"292",0,8.5,100,100,100,91.5
"293",4.5,2,100,100,95.5,98
"294",0,0.5,100,100,100,99.5
"295",8.5,4.5,99.5,99.5,91,95
"296",10,17.5,100,100,90,82.5
"297",0,0,100,100,100,100
"298",0,12.5,100,100,100,87.5
"299",0,0,99.5,99.5,99.5,99.5
"300",7,9.5,100,100,93,90.5
"301",0,2.5,100,100,100,97.5
"302",0.5,0.5,100,100,99.5,99.5
"303",0,0.5,100,100,100,99.5
"304",0,0,100,100,100,100
"305",0.5,3.5,100,100,99.5,96.5
"306",0,0,100,100,100,100
"307",9,16,100,100,91,84
"308",6.5,23,100,100,93.5,77
"309",10.5,3.5,100,100,89.5,96.5
"310",0,0,100,100,100,100
"311",0,0.5,100,100,100,99.5
"312",1,0,99.5,99.5,98.5,99.5
"313",0,0,100,100,100,100
"314",0,1,99.5,99.5,99.5,98.5
"315",11.5,0,99.5,99.5,88,99.5
"316",0,0,100,100,100,100
"317",0,0,99.5,99.5,99.5,99.5
"318",0,1.5,100,100,100,98.5
"319",0.5,3,100,100,99.5,97
"320",3,3,100,100,97,97
"321",0,0.5,100,100,100,99.5
"322",0,8.5,100,100,100,91.5
"323",0,0,99.5,99.5,99.5,99.5
"324",0,5.5,100,100,100,94.5
"325",5.5,7.5,100,100,94.5,92.5
"326",5,0,100,100,95,100
"327",1,1.5,100,100,99,98.5
"328",2.5,0,100,100,97.5,100
"329",0.5,0,99.5,99.5,99,99.5
"330",0,0.5,100,100,100,99.5
"331",3,5.5,100,100,97,94.5
"332",0,5.5,100,100,100,94.5
"333",4,13,100,100,96,87
"334",0,0,100,100,100,100
"335",1,0,100,100,99,100
"336",0,2,100,100,100,98
"337",0.5,4,100,100,99.5,96
"338",0,2.5,100,100,100,97.5
"339",2.5,0,100,100,97.5,100
"340",0,0,100,100,100,100
"341",0.5,1,99.5,99.5,99,98.5
"342",0,0,100,100,100,100
"343",16,2.5,99.5,99.5,83.5,97
"344",0,0.5,100,100,100,99.5
"345",0,1,99.5,99.5,99.5,98.5
"346",0.5,7,100,100,99.5,93
"347",5,5.5,99.5,99.5,94.5,94
"348",0,2.5,99,99,99,96.5
"349",0,1,100,100,100,99
"350",0,1.5,100,100,100,98.5
"351",4.5,1.5,100,100,95.5,98.5
"352",0.5,0,100,100,99.5,100
"353",0,0,100,100,100,100
"354",0,0,100,100,100,100
"355",0,0.5,100,100,100,99.5
"356",0,1.5,100,100,100,98.5
"357",0,9.5,100,100,100,90.5
"358",0,0,100,100,100,100
"359",4.5,8,100,100,95.5,92
"360",3,3.5,100,100,97,96.5
"361",7,1.5,99.5,99.5,92.5,98
"362",7.5,2,99.5,99.5,92,97.5
"363",1,8,100,100,99,92
"364",1,0,100,100,99,100
"365",3,0,100,100,97,100
"366",6.5,2.5,100,100,93.5,97.5
"367",10.5,21,100,100,89.5,79
"368",1,0,100,100,99,100
"369",5,5,100,100,95,95
"370",2,0,100,100,98,100
"371",1,4.5,100,100,99,95.5
"372",0,0,100,100,100,100
"373",0,0,100,100,100,100
"374",12,8.5,100,100,88,91.5
"375",0,4,100,100,100,96
"376",1.5,0.5,100,100,98.5,99.5
"377",0,4,100,100,100,96
"378",0,2.5,100,100,100,97.5
"379",1.5,0.5,100,100,98.5,99.5
"380",0,0.5,100,100,100,99.5
"381",0.5,0,100,100,99.5,100
"382",0,7,100,100,100,93
"383",0,0,99.5,99.5,99.5,99.5
"384",0,0.5,100,100,100,99.5
"385",2,0,100,100,98,100
"386",2.5,11.5,100,100,97.5,88.5
"387",0,5,100,100,100,95
"388",0,0.5,100,100,100,99.5
"389",0.5,0.5,100,100,99.5,99.5
"390",18,21,100,100,82,79
"391",0.5,0,99.5,99.5,99,99.5
"392",2,1,100,100,98,99
"393",0,0,100,100,100,100
"394",2,0,100,100,98,100
"395",1.5,0.5,100,100,98.5,99.5
"396",0,0,100,100,100,100
"397",0,0,100,100,100,100
"398",0,2.5,100,100,100,97.5
"399",0,0,100,100,100,100
"400",14,2.5,100,100,86,97.5
"401",3.5,8.5,100,100,96.5,91.5
"402",1,7.5,100,100,99,92.5
"403",4,0,100,100,96,100
"404",0.5,13.5,100,100,99.5,86.5
"405",4.5,3,100,100,95.5,97
"406",3.5,5,100,100,96.5,95
"407",5.5,6,100,100,94.5,94
"408",0,0,100,100,100,100
"409",0,1,99.5,99.5,99.5,98.5
"410",0,1.5,100,100,100,98.5
"411",0,0,100,100,100,100
"412",1.5,0,100,100,98.5,100
"413",0,2,100,100,100,98
"414",0,0.5,100,100,100,99.5
"415",0,0,100,100,100,100
"416",0,1,99.5,99.5,99.5,98.5
"417",1.5,0,100,100,98.5,100
"418",0,6.5,100,100,100,93.5
"419",5.5,1,99.5,99.5,94,98.5
"420",0,0,100,100,100,100
"421",0,0,100,100,100,100
"422",13,1.5,100,100,87,98.5
"423",0,1,100,100,100,99
"424",2,1.5,99,99,97,97.5
"425",2.5,0,100,100,97.5,100
"426",6.5,0,100,100,93.5,100
"427",6.5,2,100,100,93.5,98
"428",5,0,100,100,95,100
"429",3,0,100,100,97,100
"430",0,0,99.5,99.5,99.5,99.5
"431",4.5,0.5,100,100,95.5,99.5
"432",9,15,100,100,91,85
"433",7,4,100,100,93,96
"434",12,11.5,100,100,88,88.5
"435",0,12,100,100,100,88
"436",0,1.5,100,100,100,98.5
"437",0,8,100,100,100,92
"438",0,0,99.5,99.5,99.5,99.5
"439",0,0,100,100,100,100
"440",0,5,100,100,100,95
"441",0,0,99.5,99.5,99.5,99.5
"442",2,0.5,100,100,98,99.5
"443",0,2.5,100,100,100,97.5
"444",11.5,23,100,100,88.5,77
"445",0,1.5,100,100,100,98.5
"446",0,0,100,100,100,100
"447",1.5,10,100,100,98.5,90
"448",3,4,100,100,97,96
"449",5,0,100,100,95,100
"450",2.5,0,99.5,99.5,97,99.5
"451",1,0.5,100,100,99,99.5
"452",2,0,100,100,98,100
"453",1.5,0,98.5,98.5,97,98.5
"454",0,5,100,100,100,95
"455",0,1.5,100,100,100,98.5
"456",4.5,0,100,100,95.5,100
"457",1.5,7,100,100,98.5,93
"458",0,2,100,100,100,98
"459",6.5,3.5,100,100,93.5,96.5
"460",18.5,11,100,100,81.5,89
"461",5.5,2.5,99.5,99.5,94,97
"462",0,0,99.5,99.5,99.5,99.5
"463",18,25,99.5,99.5,81.5,74.5
"464",1,0,100,100,99,100
"465",0,4,100,100,100,96
"466",0.5,0,100,100,99.5,100
"467",1,3,100,100,99,97
"468",0,0,100,100,100,100
"469",0.5,0.5,100,100,99.5,99.5
"470",40,22.5,100,100,60,77.5
"471",0.5,2.5,100,100,99.5,97.5
"472",2.5,2.5,100,100,97.5,97.5
"473",9.5,0.5,100,100,90.5,99.5
"474",4,0,100,100,96,100
"475",5,0.5,100,100,95,99.5
"476",2.5,6.5,100,100,97.5,93.5
"477",0,2,100,100,100,98
"478",2,6,100,100,98,94
"479",0,0,100,100,100,100
"480",19,2.5,100,100,81,97.5
"481",4,0,100,100,96,100
"482",5,9,100,100,95,91
"483",16.5,18.5,99.5,99.5,83,81
"484",0,0,100,100,100,100
"485",0,0,100,100,100,100
"486",0,0,100,100,100,100
"487",0,2.5,100,100,100,97.5
"488",0,3.5,100,100,100,96.5
"489",0,0,100,100,100,100
"490",0,0,100,100,100,100
"491",3.5,4.5,100,100,96.5,95.5
"492",3.5,31.5,100,100,96.5,68.5
"493",0,2,100,100,100,98
"494",0,0,100,100,100,100
"495",4,9,100,100,96,91
"496",0,12,100,100,100,88
"497",6.5,5,100,100,93.5,95
"498",2,1.5,100,100,98,98.5
"499",0,1,100,100,100,99
"500",0,6.5,99.5,99.5,99.5,93
"501",0,5,100,100,100,95
"502",1,1.5,100,100,99,98.5
"503",5,0.5,99.5,99.5,94.5,99
"504",0,0.5,100,100,100,99.5
"505",7.5,15,100,100,92.5,85
"506",0,2,100,100,100,98
"507",2.5,1.5,99,99,96.5,97.5
"508",0,1.5,100,100,100,98.5
"509",3.5,2.5,100,100,96.5,97.5
"510",0,0,100,100,100,100
"511",0,12.5,100,100,100,87.5
"512",0,5.5,100,100,100,94.5
"513",0,3.5,100,100,100,96.5
"514",0,0,100,100,100,100
"515",0,2.5,100,100,100,97.5
"516",2,2,100,100,98,98
"517",0,7.5,100,100,100,92.5
"518",0,0,100,100,100,100
"519",2,6,99.5,99.5,97.5,93.5
"520",33.5,6.5,100,100,66.5,93.5
"521",6,1,99.5,99.5,93.5,98.5
"522",2,2.5,100,100,98,97.5
"523",3,0,99.5,99.5,96.5,99.5
"524",1,2.5,100,100,99,97.5
"525",0.5,2.5,100,100,99.5,97.5
"526",0.5,0.5,99.5,99.5,99,99
"527",0,3,100,100,100,97
"528",0,0,99.5,99.5,99.5,99.5
"529",0,0.5,99,99,99,98.5
"530",9,11,100,100,91,89
"531",7.5,17.5,100,100,92.5,82.5
"532",2,2.5,99.5,99.5,97.5,97
"533",0,0,100,100,100,100
"534",7.5,2.5,100,100,92.5,97.5
"535",1,11,99.5,99.5,98.5,88.5
"536",0.5,1.5,100,100,99.5,98.5
"537",11.5,0.5,100,100,88.5,99.5
"538",0,6.5,100,100,100,93.5
"539",0,0.5,100,100,100,99.5
"540",0,3,100,100,100,97
"541",0,5,99.5,99.5,99.5,94.5
"542",6,13,100,100,94,87
"543",0,0,100,100,100,100
"544",1.5,9.5,100,100,98.5,90.5
"545",0,4.5,100,100,100,95.5
"546",2.5,0.5,100,100,97.5,99.5
"547",0,3,100,100,100,97
"548",3.5,13.5,100,100,96.5,86.5
"549",1.5,0,100,100,98.5,100
"550",1,0,100,100,99,100
"551",9.5,1,99,99,89.5,98
"552",0,0,99.5,99.5,99.5,99.5
"553",9.5,4,100,100,90.5,96
"554",0,0,100,100,100,100
"555",0,1,100,100,100,99
"556",0,0,99,99,99,99
"557",0.5,0,100,100,99.5,100
"558",8.5,5,100,100,91.5,95
"559",0,0,100,100,100,100
"560",9.5,9.5,100,100,90.5,90.5
"561",0,1.5,100,100,100,98.5
"562",0,3.5,100,100,100,96.5
"563",0,0.5,99.5,99.5,99.5,99
"564",0,0,100,100,100,100
"565",10.5,0,100,100,89.5,100
"566",0,0.5,100,100,100,99.5
"567",4,0.5,100,100,96,99.5
"568",0,0,100,100,100,100
"569",0,0,100,100,100,100
"570",2.5,0.5,99.5,99.5,97,99
"571",5.5,4.5,100,100,94.5,95.5
"572",0,0.5,100,100,100,99.5
"573",1,6.5,100,100,99,93.5
"574",3.5,0,100,100,96.5,100
"575",12.5,6,100,100,87.5,94
"576",6.5,0,100,100,93.5,100
"577",5.5,0,100,100,94.5,100
"578",0,7.5,100,100,100,92.5
"579",1,7,100,100,99,93
"580",0.5,1,100,100,99.5,99
"581",0,2.5,100,100,100,97.5
"582",0.5,8.5,100,100,99.5,91.5
"583",0,0,100,100,100,100
"584",0,0,100,100,100,100
"585",0,12.5,100,100,100,87.5
"586",2.5,6.5,100,100,97.5,93.5
"587",26,0.5,100,100,74,99.5
"588",0,0,100,100,100,100
"589",2,17,100,100,98,83
"590",7,0.5,100,100,93,99.5
"591",1.5,0.5,99.5,99.5,98,99
"592",1,0,100,100,99,100
"593",0,0,100,100,100,100
"594",0,1,99.5,99.5,99.5,98.5
"595",0,0,100,100,100,100
"596",0,0,99.5,99.5,99.5,99.5
"597",0,10,100,100,100,90
"598",11,5.5,100,100,89,94.5
"599",15,15,100,100,85,85
"600",18.5,0.5,100,100,81.5,99.5
"601",13,2,100,100,87,98
"602",0.5,0,100,100,99.5,100
"603",4,4.5,99.5,99.5,95.5,95
"604",2,0,100,100,98,100
"605",0,0,100,100,100,100
"606",5,14.5,99,99,94,84.5
"607",3.5,2,100,100,96.5,98
"608",1.5,2,100,100,98.5,98
"609",0,1,100,100,100,99
"610",0,0,100,100,100,100
"611",1,0,100,100,99,100
"612",0.5,0,100,100,99.5,100
"613",0,10,100,100,100,90
"614",0,0,100,100,100,100
"615",9.5,4,100,100,90.5,96
"616",0,1.5,100,100,100,98.5
"617",0,4,100,100,100,96
"618",0,0,100,100,100,100
"619",0,0.5,100,100,100,99.5
"620",0,0.5,100,100,100,99.5
"621",4,3.5,100,100,96,96.5
"622",5,8,100,100,95,92
"623",21,12,100,100,79,88
"624",0,0,100,100,100,100
"625",0.5,3,100,100,99.5,97
"626",0,2,100,100,100,98
"627",0,1,100,100,100,99
"628",0,7,100,100,100,93
"629",0,1,100,100,100,99
"630",2.5,0,100,100,97.5,100
"631",1,1.5,100,100,99,98.5
"632",22.5,6,100,100,77.5,94
"633",4.5,0.5,100,100,95.5,99.5
"634",0,0,100,100,100,100
"635",0.5,3.5,100,100,99.5,96.5
"636",0,3.5,100,100,100,96.5
"637",8.5,1,99.5,99.5,91,98.5
"638",0,24.5,100,100,100,75.5
"639",0.5,1,100,100,99.5,99
"640",1,0,100,100,99,100
"641",0,9.5,100,100,100,90.5
"642",0,0,100,100,100,100
"643",0.5,1.5,100,100,99.5,98.5
"644",10.5,19,100,100,89.5,81
"645",0,0.5,100,100,100,99.5
"646",12,17,100,100,88,83
"647",4,2,100,100,96,98
"648",0,0,100,100,100,100
"649",1.5,0,100,100,98.5,100
"650",0,2.5,100,100,100,97.5
"651",0,1,100,100,100,99
"652",2.5,2,100,100,97.5,98
"653",15,8.5,99.5,99.5,84.5,91
"654",0,0,100,100,100,100
"655",8,15.5,100,100,92,84.5
"656",4,0,100,100,96,100
"657",15.5,1,99.5,99.5,84,98.5
"658",4,2.5,99.5,99.5,95.5,97
"659",0,2,100,100,100,98
"660",2.5,5,100,100,97.5,95
"661",0,0,100,100,100,100
"662",0,0,100,100,100,100
"663",0,2.5,100,100,100,97.5
"664",3.5,15.5,100,100,96.5,84.5
"665",1,15.5,100,100,99,84.5
"666",0,0.5,100,100,100,99.5
"667",0,0,100,100,100,100
"668",2.5,4,100,100,97.5,96
"669",0,7,100,100,100,93
"670",0,0,100,100,100,100
"671",0,0,100,100,100,100
"672",17,2.5,100,100,83,97.5
"673",8,0,99.5,100,91.5,100
"674",15,3.5,99.5,99.5,84.5,96
"675",0.5,11,100,100,99.5,89
"676",0,2.5,99.5,99.5,99.5,97
"677",0,0,100,100,100,100
"678",6.5,4.5,100,100,93.5,95.5
"679",0,0,100,100,100,100
"680",6,0,100,100,94,100
"681",1,11.5,100,100,99,88.5
"682",7,20.5,100,100,93,79.5
"683",3,1.5,100,100,97,98.5
"684",1.5,1.5,100,100,98.5,98.5
"685",3,26.5,100,100,97,73.5
"686",3,0,100,100,97,100
"687",6,24.5,100,100,94,75.5
"688",4,19.5,100,100,96,80.5
"689",1,12,100,100,99,88
"690",0,0,99.5,99.5,99.5,99.5
"691",0,0,100,100,100,100
"692",0.5,0,100,100,99.5,100
"693",1.5,0,100,100,98.5,100
"694",0,0,100,100,100,100
"695",0,2.5,100,100,100,97.5
"696",2.5,5.5,100,100,97.5,94.5
"697",0,0,100,100,100,100
"698",0.5,4,100,100,99.5,96
"699",0,4.5,100,100,100,95.5
"700",0,0.5,100,100,100,99.5
"701",2.5,7,100,100,97.5,93
"702",15.5,5.5,100,100,84.5,94.5
"703",6,2.5,100,100,94,97.5
"704",4,0,100,100,96,100
"705",0,2,100,100,100,98
"706",0,0,100,100,100,100
"707",2.5,1,99.5,99.5,97,98.5
"708",3,3.5,100,100,97,96.5
"709",0,0.5,100,100,100,99.5
"710",0,0.5,100,100,100,99.5
"711",1.5,0.5,100,100,98.5,99.5
"712",0,0.5,100,100,100,99.5
"713",7,6.5,100,100,93,93.5
"714",0.5,1.5,100,100,99.5,98.5
"715",0,0,100,100,100,100
"716",20.5,16,99.5,99.5,79,83.5
"717",0,0,100,100,100,100
"718",0,0.5,100,100,100,99.5
"719",0,4.5,100,100,100,95.5
"720",8.5,1,100,100,91.5,99
"721",11,0,100,100,89,100
"722",0,0,100,100,100,100
"723",0,1,99.5,99.5,99.5,98.5
"724",0,0,100,100,100,100
"725",0,0.5,100,100,100,99.5
"726",0,0,100,100,100,100
"727",1.5,0.5,100,100,98.5,99.5
"728",4,4.5,100,100,96,95.5
"729",0,6.5,99.5,99.5,99.5,93
"730",0.5,0,99.5,99.5,99,99.5
"731",0,0,99.5,99.5,99.5,99.5
"732",1.5,37,100,100,98.5,63
"733",7.5,0,99.5,99.5,92,99.5
"734",4,1.5,100,100,96,98.5
"735",0,0.5,100,100,100,99.5
"736",0,6.5,100,100,100,93.5
"737",4,1.5,100,100,96,98.5
"738",4,1.5,100,100,96,98.5
"739",4.5,0,100,100,95.5,100
"740",39,0.5,99.5,99.5,60.5,99
"741",0,6,100,100,100,94
"742",0,5.5,100,100,100,94.5
"743",0,2.5,100,100,100,97.5
